1.9667	0.7443
1.7103	0.7702
0.8992	0.0150
0.1796	0.0140
1.4531	0.5040
1.1372	0.3450
1.8523	0.7180
0.9914	0.0870
0.0098	0.0100
0.9059	0.0190
0.1976	0.0110
1.5068	0.5519
0.2146	0.0140
1.9024	0.7980
0.5087	0.0190
1.0090	0.2498
1.0635	0.3283
0.8290	0.0620
0.1592	0.0130
1.9914	0.8250
1.5214	0.5410
0.1040	0.0100
1.2262	0.2710
1.0916	0.1350
1.6856	0.6370
1.1534	0.0460
0.2250	0.0130
1.9934	0.7450
1.1675	0.2950
1.5554	0.6450
1.5803	0.6860
1.6789	0.7220
0.9553	0.0740
0.4478	0.0170
0.4271	0.0180
1.2837	0.4450
0.8179	0.0772
0.1729	0.0130
1.0436	0.2130
1.6000	0.6623
0.7079	0.0210
1.2237	0.3400
0.5394	0.0190
1.6321	0.6357
1.7578	0.6937
0.9044	0.0770
0.8247	0.0190
1.4310	0.5770
0.9791	0.0300
0.3714	0.0120
0.2301	0.0130
0.9980	0.0120
1.1517	0.1340
1.7322	0.6847
1.9944	0.8620
0.6143	0.0230
0.5837	0.0200
1.6260	0.6710
0.8526	0.0210
1.5092	0.5155
0.0798	0.0100
0.6987	0.0650
1.4944	0.4417
0.8546	0.0330
0.0411	0.0100
1.5057	0.4805
1.7987	0.7648
1.6935	0.6964
1.6474	0.6374
1.8265	0.7512
0.8472	0.0710
0.8448	0.0370
1.7962	0.6683
1.3358	0.4236
1.8502	0.7838
1.8729	0.7194
1.1250	0.4140
0.9811	0.0550
1.6757	0.6590
1.9207	0.7730
0.2985	0.0140
1.8830	0.7758
1.0207	0.0350
1.9416	0.7490
0.3753	0.0110
1.2425	0.0120
0.6472	0.0200
0.5118	0.0300
1.3337	0.4880
1.0128	0.2545
1.9668	0.7798
1.8118	0.7520
1.5011	0.5754
0.7438	0.0290
1.1475	0.3730
0.8372	0.0531
1.5200	0.5285
0.7147	0.0390
1.3236	0.5245
1.3386	0.3590
