0.4799	0.0140
0.0196	0.0100
1.5947	0.5940
1.2529	0.3100
1.6683	0.7350
1.7903	0.7890
0.5729	0.0210
1.5184	0.6340
1.8640	0.7700
1.2657	0.1620
1.7702	0.7580
1.6390	0.6480
1.2507	0.5100
0.7129	0.0380
1.3487	0.4650
0.2990	0.0110
0.9257	0.1130
1.8284	0.7000
0.1014	0.0120
1.7197	0.6640
1.0980	0.2950
1.1136	0.3400
0.1771	0.0120
1.8491	0.6740
0.1700	0.0120
1.5683	0.6200
1.5289	0.6010
0.4742	0.0160
1.8817	0.7510
0.5144	0.0150
0.6542	0.0290
1.1911	0.0420
0.7647	0.0290
1.2803	0.2580
0.9652	0.1090
0.7202	0.0260
0.3670	0.0240
1.5948	0.6780
0.3633	0.0100
1.8630	0.7400
1.1321	0.2620
1.6093	0.7020
0.8720	0.1190
1.9117	0.7860
0.6037	0.0170
1.8110	0.6900
0.6159	0.0150
0.9807	0.0150
0.7325	0.0220
0.4974	0.0170
1.8057	0.6450
0.8318	0.0660
1.6348	0.6790
0.3434	0.0160
0.3832	0.0130
1.9197	0.7640
1.7623	0.7650
1.1523	0.0180
0.3905	0.0130
0.0724	0.0130
1.3464	0.1320
1.8012	0.7880
0.2010	0.0110
1.1056	0.2620
0.3375	0.0130
1.0074	0.1100
1.6840	0.6770
1.6647	0.7100
1.7236	0.6640
1.8947	0.7250
1.2304	0.3260
0.9465	0.0380
0.0403	0.0100
0.8082	0.0650
0.1289	0.0120
0.0395	0.0100
1.4771	0.5500
0.5171	0.0280
0.4230	0.0140
1.8340	0.7590
1.1475	0.1060
1.9562	0.7840
1.3131	0.5380
0.8081	0.1090
1.4923	0.5790
1.4472	0.5090
0.9007	0.2640
1.4816	0.5880
0.2284	0.0150
0.0973	0.0110
0.1070	0.0100
1.6220	0.6430
0.4445	0.0130
0.4037	0.0110
1.8291	0.7370
1.9500	0.8040
0.7033	0.0190
0.8893	0.0830
0.3246	0.0160
0.3447	0.0120
